"sample_time","device_data"
"1638909774476","{""humidity"":{""N"":""0.988434""},""PM10"":{""N"":""28.2""},""temp"":{""N"":""5.036438""},""PM25"":{""N"":""2.7""}}"
"1639412831023","{""humidity"":{""N"":""0.999999""},""PM10"":{""N"":""5""},""temp"":{""N"":""150.0334""},""PM25"":{""N"":""2.4""}}"
"1639288917534","{""humidity"":{""N"":""0.999999""},""PM10"":{""N"":""12.2""},""temp"":{""N"":""150.0334""},""PM25"":{""N"":""3.2""}}"
"1638875667168","{""humidity"":{""N"":""0.818272""},""PM10"":{""N"":""7.9""},""temp"":{""N"":""7.147079""},""PM25"":{""N"":""1.2""}}"
"1638983399484","{""humidity"":{""N"":""0.663497""},""PM10"":{""N"":""18.8""},""temp"":{""N"":""5.978634""},""PM25"":{""N"":""3.2""}}"
"1639206296463","{""humidity"":{""N"":""0.92363""},""PM10"":{""N"":""5""},""temp"":{""N"":""2.36837""},""PM25"":{""N"":""1.9""}}"
"1639037265934","{""humidity"":{""N"":""0.826066""},""PM10"":{""N"":""8.8""},""temp"":{""N"":""3.401566""},""PM25"":{""N"":""1.5""}}"
"1639137140318","{""humidity"":{""N"":""0.708417""},""PM10"":{""N"":""2""},""temp"":{""N"":""6.415489""},""PM25"":{""N"":""0.9""}}"
"1639373322524","{""humidity"":{""N"":""0.999999""},""PM10"":{""N"":""6.6""},""temp"":{""N"":""150.0334""},""PM25"":{""N"":""1.2""}}"
"1639208093280","{""humidity"":{""N"":""0.931926""},""PM10"":{""N"":""12.5""},""temp"":{""N"":""2.111218""},""PM25"":{""N"":""3.2""}}"
"1639281732093","{""humidity"":{""N"":""0.999999""},""PM10"":{""N"":""26.8""},""temp"":{""N"":""150.0334""},""PM25"":{""N"":""3.5""}}"
"1639110891545","{""humidity"":{""N"":""0.958034""},""PM10"":{""N"":""5.2""},""temp"":{""N"":""5.825829""},""PM25"":{""N"":""1.4""}}"
"1639123467957","{""humidity"":{""N"":""0.999999""},""PM10"":{""N"":""4.6""},""temp"":{""N"":""150.0334""},""PM25"":{""N"":""1.6""}}"
"1638882849218","{""humidity"":{""N"":""0.910343""},""PM10"":{""N"":""14.6""},""temp"":{""N"":""7.379627""},""PM25"":{""N"":""1.8""}}"
"1639191926839","{""humidity"":{""N"":""0.943686""},""PM10"":{""N"":""4.2""},""temp"":{""N"":""1.090424""},""PM25"":{""N"":""2.1""}}"
"1638870276715","{""humidity"":{""N"":""0.803744""},""PM10"":{""N"":""26.3""},""temp"":{""N"":""5.898323""},""PM25"":{""N"":""2.5""}}"
"1639012127684","{""humidity"":{""N"":""0.725012""},""PM10"":{""N"":""10""},""temp"":{""N"":""5.831745""},""PM25"":{""N"":""2.1""}}"
"1639017514455","{""humidity"":{""N"":""0.695656""},""PM10"":{""N"":""9.2""},""temp"":{""N"":""5.609501""},""PM25"":{""N"":""1.5""}}"
